Crank Radius,Link Length,Offset,Max Force,Max Torque,Max Velocity,Max Acceleration,Peak Power,Min Link Height,Min Link Width,Min Crank Height,Min Crank Width,Min Pin Diameter,Return Ratio,System Area,Stroke,System Weight,System Volume,Optimization Score
0.1110000000,0.1615000000,0.0470000000,24.6381740903,0.2020047984,0.3735778849,5.1696169057,0.6346167906,0.0032960000,0.0016480000,0.0023700000,0.0011850000,0.0007179000,1.9656781729,0.0842303937,0.2499432348,0.0032102323,0.0003384377,0.8781560528
0.1120000000,0.1625000000,0.0460000000,15.2236909584,0.2043453810,0.3782368995,4.5942530302,0.6419699476,0.0029300000,0.0014650000,0.0024000000,0.0012000000,0.0006662500,1.9027995355,0.0857064933,0.2497796076,0.0027542244,0.0003312556,0.8779051469
0.1110000000,0.1640000000,0.0490000000,20.6627573074,0.2015006652,0.3713533787,4.8635541068,0.6330330096,0.0031780000,0.0015890000,0.0023720000,0.0011860000,0.0006937500,1.9347856479,0.0847150523,0.2504003249,0.0030791837,0.0003355563,0.8777884375
0.1110000000,0.1620000000,0.0475000000,24.8127576721,0.2018811354,0.3730458177,5.1778803453,0.6342282920,0.0033060000,0.0016530000,0.0023700000,0.0011850000,0.0007205000,1.9661304438,0.0843235735,0.2502684719,0.0032320039,0.0003392337,0.8775701654
0.1130000000,0.1585000000,0.0415000000,15.0356808959,0.2080322543,0.3879234486,4.8641714273,0.6535526019,0.0028860000,0.0014430000,0.0024240000,0.0012120000,0.0006637500,1.9269033461,0.0861759521,0.2496547646,0.0026785465,0.0003332424,0.8775430325
0.1120000000,0.1630000000,0.0465000000,15.3020308143,0.2042160685,0.3776659400,4.6016191774,0.6415637007,0.0029380000,0.0014690000,0.0024000000,0.0012000000,0.0006672500,1.9035865207,0.0858009883,0.2500937661,0.0027703493,0.0003319640,0.8774091727
0.1130000000,0.1590000000,0.0420000000,15.1149806095,0.2078390494,0.3872470963,4.8721369855,0.6529456306,0.0028940000,0.0014470000,0.0024240000,0.0012120000,0.0006647500,1.9279410108,0.0862727406,0.2499761274,0.0026940940,0.0003339618,0.8771619160
0.1110000000,0.1590000000,0.0450000000,30.7619064496,0.2025714435,0.3760124991,5.5512673351,0.6363969588,0.0034560000,0.0017280000,0.0023740000,0.0011870000,0.0008014000,2.0010452883,0.0837436370,0.2495202972,0.0034083019,0.0003435164,0.8770963801
0.1125000000,0.1560000000,0.0405000000,24.0434515663,0.2074274912,0.3877375466,5.5712895569,0.6516526826,0.0032180000,0.0016090000,0.0024060000,0.0012030000,0.0007093000,1.9980302445,0.0850337902,0.2495534485,0.0030600528,0.0003414107,0.8770745823
0.1135000000,0.1540000000,0.0375000000,19.8610859174,0.2110151883,0.3963219280,5.5835191509,0.6629237654,0.0030500000,0.0015250000,0.0024340000,0.0012170000,0.0006855000,1.9937562974,0.0858873688,0.2495613942,0.0028417492,0.0003400281,0.8769077493
