Crank,Link,Offset,Return Ratio,Cross Sectional Area
120.500,199.500,41.500,1.556,105509.215
120.000,199.500,43.500,1.590,104765.971
119.500,199.500,45.500,1.625,104021.982
119.000,199.500,47.500,1.662,103277.265
118.500,199.500,49.500,1.699,102531.836
121.000,200.000,39.000,1.510,106388.532
120.500,200.000,41.500,1.552,105630.740
121.000,200.500,39.500,1.515,106495.550
120.500,200.500,41.500,1.547,105752.261
120.000,200.500,44.000,1.590,104991.685
119.500,200.500,46.000,1.625,104246.181
119.000,200.500,48.000,1.661,103499.962
121.000,201.000,39.500,1.511,106617.472
120.500,201.000,42.000,1.552,105857.998
120.000,201.000,44.000,1.586,105112.830
119.500,201.000,46.000,1.620,104366.934
121.000,201.500,39.500,1.507,106739.392
120.500,201.500,42.000,1.548,105979.538
119.500,201.500,46.500,1.625,104470.282
119.000,201.500,48.500,1.661,103722.564
121.000,202.000,40.000,1.512,106846.303
120.500,202.000,42.000,1.544,106101.074
120.000,202.000,44.500,1.586,105338.461
119.500,202.000,46.500,1.621,104591.054
119.000,202.000,48.500,1.656,103842.948
121.000,202.500,40.000,1.509,106968.241
120.500,202.500,42.500,1.549,106206.709
120.000,202.500,44.500,1.582,105459.622
121.000,203.000,40.000,1.505,107090.175
120.500,203.000,42.500,1.545,106328.264
119.500,203.000,47.000,1.621,104815.078
119.000,203.000,49.000,1.656,104065.477
121.000,203.500,40.500,1.510,107196.981
120.500,203.500,42.500,1.541,106449.816
120.000,203.500,45.000,1.583,105685.172
119.500,203.500,47.000,1.616,104935.866
119.000,203.500,49.000,1.651,104185.877
121.000,204.000,40.500,1.506,107318.933
120.500,204.000,43.000,1.546,106555.351
120.000,204.000,45.000,1.578,105806.348
119.000,204.000,49.500,1.655,104287.913
121.000,204.500,40.500,1.503,107440.882
120.500,204.500,43.000,1.542,106676.921
120.000,204.500,45.500,1.583,105910.622
119.500,204.500,47.500,1.616,105159.814
119.000,204.500,49.500,1.651,104408.333
121.000,205.000,41.000,1.508,107547.584
120.500,205.000,43.000,1.538,106798.488
120.000,205.000,45.500,1.579,106031.817
119.500,205.000,47.500,1.612,105280.617
121.000,205.500,41.000,1.504,107669.551
120.500,205.500,43.500,1.543,106903.923
120.000,205.500,45.500,1.575,106153.009
119.500,205.500,48.000,1.617,105383.666
121.000,206.000,41.000,1.501,107791.515
120.500,206.000,43.500,1.539,107025.508
120.000,206.000,46.000,1.580,106257.188
119.500,206.000,48.000,1.612,105504.489
120.500,206.500,43.500,1.536,107147.090
120.000,206.500,46.000,1.576,106378.399
121.000,207.000,41.500,1.502,108020.095
120.500,207.000,44.000,1.541,107252.426
120.000,207.000,46.000,1.572,106499.606
119.500,207.000,48.500,1.613,105728.267
120.500,207.500,44.000,1.537,107374.027
120.000,207.500,46.500,1.576,106603.691
119.500,207.500,48.500,1.608,105849.105
120.500,208.000,44.000,1.533,107495.625
120.000,208.000,46.500,1.572,106724.918
121.000,208.500,42.000,1.500,108370.566
120.500,208.500,44.500,1.538,107600.863
119.500,208.500,49.000,1.609,106072.810
120.500,209.000,44.500,1.534,107722.479
120.000,209.000,47.000,1.573,106950.132
119.500,209.000,49.000,1.604,106193.664
120.500,209.500,44.500,1.531,107844.091
120.000,209.500,47.000,1.569,107071.374
119.500,209.500,49.500,1.609,106296.421
120.500,210.000,45.000,1.535,107949.233
119.500,210.000,49.500,1.605,106417.295
120.500,210.500,45.000,1.532,108070.864
120.000,210.500,47.500,1.570,107296.512
119.500,210.500,49.500,1.601,106538.165
120.500,211.000,45.000,1.528,108192.491
120.000,211.000,47.500,1.566,107417.769
120.500,211.500,45.500,1.533,108297.537
120.500,212.000,45.500,1.530,108419.183
120.000,212.000,48.000,1.567,107642.831
120.500,212.500,45.500,1.526,108540.826
120.000,212.500,48.000,1.563,107764.103
120.500,213.000,46.000,1.531,108645.777
120.000,213.000,48.500,1.568,107867.799
120.500,213.500,46.000,1.527,108767.438
120.000,213.500,48.500,1.564,107989.090
120.500,214.000,46.000,1.524,108889.096
120.000,214.000,48.500,1.561,108110.378
120.500,214.500,46.500,1.529,108993.953
120.000,214.500,49.000,1.565,108213.984
120.500,215.000,46.500,1.525,109115.629
120.000,215.000,49.000,1.562,108335.290
120.500,215.500,46.500,1.522,109237.301
120.000,215.500,49.000,1.558,108456.593
120.500,216.000,47.000,1.527,109342.065
120.000,216.000,49.500,1.562,108560.110
120.500,216.500,47.000,1.523,109463.756
120.000,216.500,49.500,1.559,108681.432
120.500,217.000,47.000,1.520,109585.444
120.000,217.000,49.500,1.556,108802.750
120.500,217.500,47.500,1.525,109690.116
120.500,218.000,47.500,1.521,109811.822
120.500,218.500,47.500,1.518,109933.524
120.500,219.000,48.000,1.523,110038.105
120.500,219.500,48.000,1.520,110159.826
120.500,220.000,48.000,1.517,110281.543
120.500,220.500,48.500,1.521,110386.033
120.500,221.000,48.500,1.518,110507.769
120.500,221.500,48.500,1.515,110629.501
120.500,222.000,49.000,1.519,110733.901
120.500,222.500,49.000,1.516,110855.652
120.500,223.000,49.000,1.513,110977.399
120.500,223.500,49.500,1.517,111081.711
120.500,224.000,49.500,1.515,111203.476
120.500,224.500,49.500,1.512,111325.238
120.500,225.000,49.500,1.509,111446.996
