Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
124.000,129.000,4.000,150.000,28.052,0.222,21.357,-236.692,-333.842
124.000,129.000,4.000,165.000,15.823,0.204,9.085,-123.156,-426.686
124.000,129.000,4.000,180.000,1.776,0.196,4.984,-45.177,-490.453
124.000,129.000,4.000,195.000,-12.379,0.201,9.334,-8.070,-520.798
124.000,129.000,4.000,210.000,-24.902,0.216,21.837,-14.362,-515.653
124.000,129.000,4.000,225.000,-34.615,0.238,41.643,-63.625,-475.368
124.000,129.000,4.000,240.000,-41.159,0.261,67.400,-152.502,-402.689
124.000,129.000,4.000,255.000,-44.791,0.276,97.354,-274.936,-302.568
124.000,129.000,4.000,270.000,-45.937,0.282,129.464,-422.585,-181.826
124.000,129.000,4.000,285.000,-44.791,0.276,161.542,-585.386,-48.692
124.000,129.000,4.000,300.000,-41.159,0.261,191.400,-752.244,87.762
124.000,129.000,4.000,315.000,-34.615,0.238,217.005,-911.789,218.236
124.000,129.000,4.000,330.000,-24.902,0.216,236.612,-1053.147,333.839
124.000,129.000,4.000,345.000,-12.379,0.201,248.884,-1166.686,426.692
124.000,129.000,4.000,360.000,1.776,0.196,252.984,-1244.667,490.466
,,,,,,,,
124.500,129.500,3.000,15.000,15.393,0.203,249.622,-1286.863,522.913
124.500,129.500,3.000,30.000,27.663,0.222,237.068,-1280.547,517.748
124.500,129.500,3.000,45.000,37.041,0.246,217.183,-1231.087,477.298
124.500,129.500,3.000,60.000,43.262,0.269,191.321,-1141.851,404.320
124.500,129.500,3.000,75.000,46.665,0.286,161.246,-1018.922,303.788
124.500,129.500,3.000,90.000,47.729,0.292,129.007,-870.677,182.554
124.500,129.500,3.000,105.000,46.665,0.286,96.800,-707.219,48.881
124.500,129.500,3.000,120.000,43.262,0.269,66.821,-539.688,-88.123
124.500,129.500,3.000,135.000,37.041,0.246,41.113,-379.501,-219.119
124.500,129.500,3.000,150.000,27.663,0.222,21.428,-237.573,-335.182
124.500,129.500,3.000,165.000,15.393,0.203,9.106,-123.578,-428.402
124.500,129.500,3.000,180.000,1.327,0.196,4.988,-45.282,-492.428
124.500,129.500,3.000,195.000,-12.820,0.201,9.355,-8.022,-522.897
124.500,129.500,3.000,210.000,-25.309,0.217,21.908,-14.337,-517.733
124.500,129.500,3.000,225.000,-34.977,0.239,41.793,-63.796,-477.288
124.500,129.500,3.000,240.000,-41.476,0.262,67.654,-153.030,-404.318
124.500,129.500,3.000,255.000,-45.075,0.278,97.729,-275.956,-303.794
124.500,129.500,3.000,270.000,-46.210,0.284,129.968,-424.199,-182.567
124.500,129.500,3.000,285.000,-45.075,0.278,162.175,-587.656,-48.896
124.500,129.500,3.000,300.000,-41.476,0.262,192.154,-755.187,88.108
124.500,129.500,3.000,315.000,-34.977,0.239,217.863,-915.376,219.109
124.500,129.500,3.000,330.000,-25.309,0.217,237.549,-1057.306,335.179
124.500,129.500,3.000,345.000,-12.820,0.201,249.871,-1171.304,428.408
124.500,129.500,3.000,360.000,1.327,0.196,253.988,-1249.602,492.441
